No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
1,MSFT,Microsoft Corporation,3087347744768,415.50,0.45%,227583000000
2,AAPL,Apple Inc,2774291709952,179.66,-0.60%,385706000000
3,NVDA,NVIDIA Corporation,2056974893056,822.79,4.00%,60922000000
4,AMZN,"Amazon.com, Inc.",1851242446848,178.22,0.83%,574785000000
5,GOOG,Alphabet Inc.,1710397063168,138.08,-1.22%,307394000000
6,GOOGL,Alphabet Inc.,1710396407808,137.10,-0.98%,307394000000
7,META,"Meta Platforms, Inc.",1280568590336,502.30,2.48%,134902000000
9,LLY,Eli Lilly and Company,743142260736,782.84,3.87%,34124100000
10,AVGO,Broadcom Inc.,648404795392,1399.17,7.59%,35819000000
11,TSLA,"Tesla, Inc.",645365825536,202.64,0.38%,96773000000
12,V,Visa Inc.,581630492672,283.19,0.19%,33351000000
13,JPM,JPMorgan Chase & Co.,533703720960,185.29,-0.41%,158104000000
14,WMT,Walmart Inc.,473181913088,58.76,,648125000000
15,UNH,UnitedHealth Group Incorporated,452778524672,489.61,-0.81%,371622000000
16,MA,Mastercard Incorporated,444644327424,476.63,0.39%,25098000000
17,XOM,Exxon Mobil Corporation,420290625536,105.77,1.20%,344582000000
18,JNJ,Johnson & Johnson,390509789184,162.12,0.46%,85159000000
19,HD,"The Home Depot, Inc.",382628495360,384.45,1.01%,152669000000
20,PG,The Procter & Gamble Company,373777235968,158.85,-0.06%,83933000000
21,COST,Costco Wholesale Corporation,332547522560,749.25,0.72%,245652000000
22,AMD,"Advanced Micro Devices, Inc.",327423688704,202.64,5.25%,22680000000
23,MRK,"Merck & Co., Inc.",321543962624,126.99,-0.13%,60115000000
24,ABBV,AbbVie Inc.,316039168000,178.92,1.63%,54318000000
25,ORCL,Oracle Corporation,312772132864,113.78,1.88%,51628000000
26,CRM,"Salesforce, Inc.",306739838976,316.88,2.61%,34857000000
27,CVX,Chevron Corporation,283809415168,152.81,0.53%,200949000000
28,BAC,Bank of America Corporation,270425849856,34.35,-0.49%,98581000000
29,NFLX,"Netflix, Inc.",268025593856,619.34,2.72%,33723297000
30,ADBE,Adobe Inc.,258060353536,570.93,1.90%,19409000000
31,KO,The Coca-Cola Company,256720732160,59.53,-0.82%,45754000000
32,ACN,Accenture plc,238877671424,380.99,1.66%,64588246000
33,PEP,"PepsiCo, Inc.",226217426944,164.59,-0.45%,91471000000
34,TMO,Thermo Fisher Scientific Inc.,219761557504,576.33,1.08%,42857000000
35,LIN,Linde plc,216328749056,449.21,0.09%,32854000000
36,MCD,McDonald's Corporation,209922179072,290.73,-0.53%,25493700000
37,ABT,Abbott Laboratories,205827063808,118.62,-0.02%,40109000000
38,DIS,The Walt Disney Company,205349879808,111.97,0.35%,88935000000
39,WFC,Wells Fargo & Company,196973854720,55.06,-0.95%,82597000000
40,CSCO,"Cisco Systems, Inc.",195980804096,48.40,0.06%,57233000000
41,TMUS,"T-Mobile US, Inc.",193898954752,163.37,0.04%,78558000000
42,DHR,Danaher Corporation,189267558400,255.87,1.08%,23890000000
43,INTU,Intuit Inc.,186611613696,666.52,0.55%,15094000000
44,INTC,Intel Corporation,185270960128,43.82,1.79%,54228000000
45,QCOM,QUALCOMM Incorporated,182008430592,163.09,3.36%,36292000000
46,AMAT,"Applied Materials, Inc.",174941044736,210.25,4.28%,26485000000
47,GE,General Electric Company,172663537664,158.66,1.13%,67954000000
48,IBM,International Business Machines Corporation,172531417088,188.20,1.71%,61860000000
49,CMCSA,Comcast Corporation,169995599872,42.80,-0.12%,121572000000
50,VZ,Verizon Communications Inc.,169011658752,40.20,0.45%,133974000000
51,UBER,"Uber Technologies, Inc.",168258797568,81.03,1.92%,37281000000
52,CAT,Caterpillar Inc.,168140242944,336.79,0.85%,67060000000
53,AXP,American Express Company,159005294592,219.66,0.11%,55592000000
54,NOW,"ServiceNow, Inc.",158594154496,773.63,0.30%,8971000000
55,TXN,Texas Instruments Incorporated,155533721600,171.05,2.22%,17519000000
56,BX,Blackstone Inc.,155228422144,128.09,0.21%,8022841000
57,NKE,"NIKE, Inc.",154360414208,101.88,-1.62%,51542000000
58,UNP,Union Pacific Corporation,154261635072,252.98,-0.28%,24119000000
59,AMGN,Amgen Inc.,150234169344,280.33,2.37%,28190000000
60,PFE,Pfizer Inc.,150147874816,26.59,0.11%,58496000000
61,MS,Morgan Stanley,141418151936,86.48,0.51%,54143000000
62,LOW,"Lowe's Companies, Inc.",140452069376,244.69,1.67%,90219000000
